district,district_code,school,school_code,low_grade,high_grade,enrollment,pct_high_needs,ppe_instruction,ppe_support_services_students,ppe_improvement_of_instruction,ppe_library_and_media_services,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_operation_and_maintenance_of_plant,ppe_transportation_other_than_to_from_home,ppe_enterprise_operations,ppe_minor_school_construction,ppe_total,fiscal_year,cpi_u,deflator,ppe_instruction_real,ppe_support_services_students_real,ppe_improvement_of_instruction_real,ppe_library_and_media_services_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_operation_and_maintenance_of_plant_real,ppe_transportation_other_than_to_from_home_real,ppe_enterprise_operations_real,ppe_minor_school_construction_real,ppe_total_real
Simsbury School District,1280011,Latimer Lane School,1280611,K,6,408,22.1,9987,882,208,331,350,768,1451,0,0,0.0,13977,2018,251.1,1.282206292313819,12805.394241338112,1130.9059498207885,266.6989088012744,424.4102827558741,448.7722023098367,984.7344324970131,1860.4813301473516,0.0,0.0,0.0,17921.39734767025
Simsbury School District,1280011,Simsbury High School,1286111,9,12,1380,21.2,9878,1668,59,181,926,1109,1788,67,579,0.0,16254,2018,251.1,1.282206292313819,12665.633755475905,2138.72009557945,75.65017124651533,232.07933890880125,1187.3230266825965,1421.9667781760254,2292.5848506571087,85.90782158502589,742.3974432497013,0.0,20840.981075268817
Simsbury School District,1280011,Squadron Line School,1280711,PK,6,615,23.9,9634,895,200,256,350,845,1437,0,0,0.0,13616,2018,251.1,1.282206292313819,12352.775420151333,1147.574631620868,256.4412584627638,328.2448108323377,448.7722023098367,1083.4643170051772,1842.530442054958,0.0,0.0,0.0,17458.52087614496
Simsbury School District,1280011,Tariffville School,1280311,K,6,248,32.3,11226,994,198,358,350,1270,1472,0,0,0.0,15868,2018,251.1,1.282206292313819,14394.047837514934,1274.513054559936,253.87684587813618,459.02985264834723,448.7722023098367,1628.4019912385502,1887.4076622859418,0.0,0.0,0.0,20346.04944643568
Simsbury School District,1280011,Tootin' Hills School,1280411,K,6,351,18.8,10610,982,199,367,350,884,1594,0,0,0.0,14986,2018,251.1,1.282206292313819,13604.208761449621,1259.1265790521704,255.15905217045,470.5697092791716,448.7722023098367,1133.4703624054162,2043.8368299482277,0.0,0.0,0.0,19215.14349661489
Somers School District,1290011,Mabelle B. Avery Middle School,1295111,6,8,358,18.4,11128,919,64,377,10,1166,2117,3,65,0.0,15849,2018,251.1,1.282206292313819,14268.391620868179,1178.3475826363997,82.06120270808442,483.3917722023098,12.82206292313819,1495.052536837913,2714.430720828355,3.8466188769414575,83.34340900039824,0.0,20321.68752688172
Somers School District,1290011,Somers Elementary School,1290411,PK,5,595,20.7,10118,691,61,245,0,671,1553,0,8,0.0,13347,2018,251.1,1.282206292313819,12973.363265631222,886.004547988849,78.21458383114296,314.1405416168857,0.0,860.3604221425726,1991.266371963361,0.0,10.257650338510553,0.0,17113.607383512543
Somers School District,1290011,Somers High School,1296111,9,12,475,18.7,9272,1353,79,327,0,941,2027,72,584,0.0,14654,2018,251.1,1.282206292313819,11888.61674233373,1734.8251135005974,101.29429709279171,419.28145758661884,0.0,1206.5561210673038,2599.0321545201114,92.31885304659498,748.8084747112704,0.0,18789.451007566706
South Windsor School District,1320011,Eli Terry School,1320711,K,5,438,32.6,10457,1231,37,0,281,1105,1171,1,0,68.0,14350,2018,251.1,1.282206292313819,13408.031198725606,1578.3959458383113,47.44163281561131,0.0,360.2999681401832,1416.83795300677,1501.4635682994822,1.282206292313819,0.0,87.1900278773397,18399.660294703302
South Windsor School District,1320011,Orchard Hill School,1320611,PK,5,638,30.6,8322,774,19,0,281,1084,1040,1,0,68.0,11588,2018,251.1,1.282206292313819,10670.520764635603,992.427670250896,24.36191955396256,0.0,360.2999681401832,1389.9116208681799,1333.4945440063718,1.282206292313819,0.0,87.1900278773397,14858.206515332537
South Windsor School District,1320011,Philip R. Smith School,1320111,K,5,379,23.2,9673,1435,22,2,280,1242,1060,1,0,68.0,13784,2018,251.1,1.282206292313819,12402.781465551572,1839.9660294703303,28.20853843090402,2.564412584627638,359.01776184786934,1592.5002150537634,1359.1386698526483,1.282206292313819,0.0,87.1900278773397,17673.931533253683
South Windsor School District,1320011,Pleasant Valley School,1320211,K,5,494,30.2,8568,741,33,0,281,1028,959,1,0,175.0,11785,2018,251.1,1.282206292313819,10985.943512544802,950.11486260454,42.31280764635603,0.0,360.2999681401832,1318.1080684986061,1229.6358343289526,1.282206292313819,0.0,224.38610115491835,15110.801154918357
South Windsor School District,1320011,South Windsor High School,1326211,9,12,1302,25.3,10368,1924,30,173,311,1427,1759,18,0,84.0,16094,2018,251.1,1.282206292313819,13293.914838709676,2466.964906411788,38.46618876941457,221.82168857029072,398.7661569095977,1829.7083791318198,2255.400868180008,23.079713261648745,0.0,107.7053285543608,20635.828068498606
South Windsor School District,1320011,Timothy Edwards School,1325111,6,8,963,23.7,10425,1210,23,6,301,1301,1532,1,0,260.0,15057,2018,251.1,1.282206292313819,13367.000597371563,1551.469613699721,29.49074472321784,7.693237753882915,385.94409398645956,1668.1503863002786,1964.3400398247709,1.282206292313819,0.0,333.37363600159296,19306.180143369173
Southington School District,1310011,Flanders Elementary School,1311311,K,5,283,35.7,8337,887,4,0,264,853,1600,0,0,0.0,11947,2018,251.1,1.282206292313819,10689.75385902031,1137.3169812823576,5.128825169255276,0.0,338.5024611708482,1093.7219673436878,2051.5300677021105,0.0,0.0,0.0,15318.518574273197
Southington School District,1310011,John F. Kennedy Middle School,1315311,6,8,792,26.6,9875,1215,4,0,192,828,1276,11,58,0.0,13458,2018,251.1,1.282206292313819,12661.787136598963,1557.8806451612902,5.128825169255276,0.0,246.18360812425328,1061.6668100358422,1636.0952289924332,14.10426921545201,74.36796495420151,0.0,17255.932281959376
Southington School District,1310011,Joseph A. Depaolo Middle School,1315111,6,8,765,26.8,9932,1321,4,0,191,855,1302,10,60,0.0,13675,2018,251.1,1.282206292313819,12734.87289526085,1693.794512146555,5.128825169255276,0.0,244.90140183193944,1096.2863799283152,1669.4325925925925,12.82206292313819,76.93237753882914,0.0,17534.171047391475
Southington School District,1310011,R. E. Thalberg Elementary School,1310911,K,5,444,23.2,8078,936,4,0,275,595,1487,0,0,0.0,11376,2018,251.1,1.282206292313819,10357.66242931103,1200.1450896057347,5.128825169255276,0.0,352.6067303863002,762.9127439267223,1906.6407566706491,0.0,0.0,0.0,14586.378781362006
Southington School District,1310011,South End Elementary School,1310711,K,5,229,24.5,7990,1215,4,0,312,1065,1685,0,0,0.0,12271,2018,251.1,1.282206292313819,10244.828275587415,1557.8806451612902,5.128825169255276,0.0,400.04836320191157,1365.5497013142174,2160.5176025487854,0.0,0.0,0.0,15733.953412982873
Southington School District,1310011,Southington High School,1316211,9,12,2009,22.2,8867,1385,4,0,234,975,1381,82,418,1.0,13347,2018,251.1,1.282206292313819,11369.323193946633,1775.8557148546395,5.128825169255276,0.0,300.0362724014337,1250.1511350059736,1770.726889685384,105.14091596973317,535.9622301871764,1.282206292313819,17113.607383512543
Southington School District,1310011,Urbin T. Kelley School,1311411,K,5,308,19.8,9800,1065,4,0,275,835,1580,0,0,0.0,13561,2018,251.1,1.282206292313819,12565.621664675427,1365.5497013142174,5.128825169255276,0.0,352.6067303863002,1070.642254082039,2025.8859418558343,0.0,0.0,0.0,17387.9995300677
Southington School District,1310011,Walter A. Derynoski Elementary School,1311511,K,5,552,30.3,8945,891,4,0,313,918,1304,0,0,0.0,12376,2018,251.1,1.282206292313819,11469.335284747112,1142.4458064516127,5.128825169255276,0.0,401.33056949422536,1177.065376344086,1671.9970051772202,0.0,0.0,0.0,15868.585073675826
Southington School District,1310011,William H. Hatton Elementary School,1310211,K,5,336,22.3,11980,1059,4,0,256,784,1606,0,0,0.0,15689,2018,251.1,1.282206292313819,15360.831381919554,1357.8564635603345,5.128825169255276,0.0,328.2448108323377,1005.2497331740342,2059.2233054559933,0.0,0.0,0.0,20116.53452011151
Southington School District,1310011,William M. Strong Elementary School,1310811,K,5,267,27.0,9873,1085,4,0,285,946,2011,0,0,0.0,14204,2018,251.1,1.282206292313819,12659.222724014337,1391.1938271604938,5.128825169255276,0.0,365.42879330943845,1212.967152528873,2578.5168538430903,0.0,0.0,0.0,18212.458176025488
Southington School District,1310011,Wrinn Integrated Preschool - HES,1312011,PK,PK,63,60.3,1671,712,4,0,109,42,679,0,0,0.0,3217,2018,251.1,1.282206292313819,2142.5667144563918,912.9308801274392,5.128825169255276,0.0,139.76048586220628,53.8526642771804,870.6180724810831,0.0,0.0,0.0,4124.857642373556
Southington School District,1310011,Wrinn Integrated Preschool - SES,1312111,PK,PK,18,72.2,799,708,4,0,109,42,679,0,0,0.0,2340,2018,251.1,1.282206292313819,1024.4828275587415,907.8020549581839,5.128825169255276,0.0,139.76048586220628,53.8526642771804,870.6180724810831,0.0,0.0,0.0,3000.362724014337
Southington School District,1310011,Zaya A. Oshana Elementary School,1310611,K,5,274,20.4,8143,964,4,0,268,886,1513,0,0,0.0,11779,2018,251.1,1.282206292313819,10441.005838311428,1236.0468657905217,5.128825169255276,0.0,343.63128634010354,1136.0347749900436,1939.9781202708084,0.0,0.0,0.0,15103.107917164476
Sprague School District,1330011,Sayles School,1330111,PK,8,334,56.3,9282,728,11,0,427,726,966,23,0,0.0,12163,2018,251.1,1.282206292313819,11901.438805256868,933.4461808044603,14.10426921545201,0.0,547.5020868180007,930.8817682198327,1238.6112783751494,29.49074472321784,0.0,0.0,15595.475133412981
Stafford School District,1340011,Stafford Elementary School,1340611,2,5,453,46.4,9419,1070,345,281,11,776,1526,0,0,0.0,13428,2018,251.1,1.282206292313819,12077.101067303862,1371.9607327757865,442.3611708482676,360.2999681401832,14.10426921545201,994.9920828355237,1956.646802070888,0.0,0.0,0.0,17217.466093189963
Stafford School District,1340011,Stafford High School,1346111,9,12,393,35.4,10690,1581,121,394,21,1250,1966,167,0,115.0,16304,2018,251.1,1.282206292313819,13706.785264834727,2027.168148148148,155.1469613699721,505.1892791716447,26.9263321385902,1602.757865392274,2520.8175706889683,214.1284508164078,0.0,147.4537236160892,20905.091389884506
Stafford School District,1340011,Stafford Middle School,1345211,6,8,361,38.0,8924,1132,370,321,16,1035,1491,33,0,0.0,13322,2018,251.1,1.282206292313819,11442.40895260852,1451.4575228992433,474.4163281561131,411.58821983273594,20.515300677021106,1327.0835125448027,1911.7695818399043,42.31280764635603,0.0,0.0,17081.552226204698
Stafford School District,1340011,Staffordville School,1340311,PK,1,160,44.4,9731,882,461,154,11,1366,1502,2,0,0.0,14108,2018,251.1,1.282206292313819,12477.149430505773,1130.9059498207885,591.0971007566706,197.45976901632815,14.10426921545201,1751.493795300677,1925.8738510553562,2.564412584627638,0.0,0.0,18089.36637196336
Stafford School District,1340011,West Stafford School,1340411,PK,1,141,44.7,12426,1094,507,159,54,1487,1628,2,0,0.0,17357,2018,251.1,1.282206292313819,15932.695388291517,1402.733683791318,650.0785902031063,203.87080047789723,69.23913978494623,1906.6407566706491,2087.4318438868977,2.564412584627638,0.0,0.0,22255.25461569096
Stamford Academy District,2820013,Stamford Academy,2826013,9,12,159,96.2,6849,1879,0,0,1938,2473,1513,0,0,0.0,14652,2018,251.1,1.282206292313819,8781.830896057347,2409.265623257666,0.0,0.0,2484.9157945041816,3170.8961608920745,1939.9781202708084,0.0,0.0,0.0,18786.88659498208
Stamford Charter School for Excellence District,2960013,Stamford Charter School for Excellence,2960113,PK,3,273,61.5,5089,65,70,1,0,1388,1924,0,0,0.0,8537,2018,251.1,1.282206292313819,6525.147821585026,83.34340900039824,89.75444046196733,1.282206292313819,0.0,1779.702333731581,2466.964906411788,0.0,0.0,0.0,10946.195117483074
Stamford School District,1350011,Cloonan School,1355611,6,8,569,66.6,10812,1147,559,258,194,1204,1528,1,0,0.0,15702,2018,251.1,1.282206292313819,13863.214432497012,1470.6906172839506,716.7533174034248,330.8092234169653,248.74802070888092,1543.7763759458383,1959.2112146555155,1.282206292313819,0.0,0.0,20133.203201911587
Stamford School District,1350011,Davenport Ridge School,1352011,PK,5,627,49.6,10040,620,1170,250,8,859,914,3,0,0.0,13864,2018,251.1,1.282206292313819,12873.351174830745,794.9679012345679,1500.1813620071684,320.5515730784548,10.257650338510553,1101.4152050975706,1171.9365511748306,3.8466188769414575,0.0,0.0,17776.50803663879
Stamford School District,1350011,Dolan School,1355311,6,8,532,64.8,9993,921,668,253,190,1230,1314,8,0,0.0,14578,2018,251.1,1.282206292313819,12813.087479091995,1180.9119952210274,856.5138032656312,324.3981919553962,243.61919553962562,1577.1137395459975,1684.8190681003582,10.257650338510553,0.0,0.0,18692.003329350853
Stamford School District,1350011,Hart School,1352211,K,5,631,60.5,9942,599,478,46,240,952,1005,2,0,0.0,13264,2018,251.1,1.282206292313819,12747.694958183989,768.0415690959776,612.8946077260056,58.98148944643568,307.7295101553166,1220.6603902827558,1288.6173237753883,2.564412584627638,0.0,0.0,17007.184261250495
Stamford School District,1350011,Julia A. Stark School,1351211,K,5,603,62.9,9642,600,738,144,198,916,1227,0,0,0.0,13465,2018,251.1,1.282206292313819,12363.033070489844,769.3237753882914,946.2682437275985,184.63770609318996,253.87684587813618,1174.5009637594583,1573.267120669056,0.0,0.0,0.0,17264.907726005575
Stamford School District,1350011,K. T. Murphy School,1350511,PK,5,547,63.1,10081,653,1207,337,218,1031,1068,2,0,0.0,14597,2018,251.1,1.282206292313819,12925.92163281561,837.2807088809238,1547.6229948227797,432.10352050975706,279.52097172441256,1321.9546873755476,1369.3963201911588,2.564412584627638,0.0,0.0,18716.365248904818
Stamford School District,1350011,Newfield School,1350611,K,5,570,62.1,12340,504,517,235,267,903,1087,1,0,0.0,15854,2018,251.1,1.282206292313819,15822.425647152528,646.2319713261649,662.9006531262445,301.31847869374747,342.3490800477897,1157.8322819593786,1393.7582397451213,1.282206292313819,0.0,0.0,20328.09855834329
Stamford School District,1350011,Northeast School,1351811,K,5,655,51.5,11923,670,273,262,231,752,1098,0,0,0.0,15208,2018,251.1,1.282206292313819,15287.745623257666,859.0782158502589,350.0423178016726,335.9380485862206,296.1896535244922,964.219131819992,1407.8625089605735,0.0,0.0,0.0,19499.793293508563
Stamford School District,1350011,Rippowam Middle School,1355811,6,8,727,65.1,10912,845,577,195,192,919,1875,0,0,0.0,15514,2018,251.1,1.282206292313819,13991.435061728394,1083.4643170051772,739.8330306650736,250.03022700119473,246.18360812425328,1178.3475826363997,2404.1367980884106,0.0,0.0,0.0,19892.14841895659
Stamford School District,1350011,Rogers International School,1350811,K,8,811,41.9,9823,548,416,173,8,708,1028,5,0,0.0,12709,2018,251.1,1.282206292313819,12595.112409398645,702.6490481879729,533.3978176025488,221.82168857029072,10.257650338510553,907.8020549581839,1318.1080684986061,6.411031461569095,0.0,0.0,16295.559769016327
Stamford School District,1350011,Roxbury School,1350911,PK,5,592,67.1,12261,677,840,271,8,965,1108,0,0,0.0,16129,2018,251.1,1.282206292313819,15721.131350059735,868.0536598964555,1077.0532855436081,347.47790521704496,10.257650338510553,1237.3290720828354,1420.6845718837117,0.0,0.0,0.0,20680.705288729587
Stamford School District,1350011,Scofield Middle School,1355711,6,8,672,52.1,9635,1095,273,241,225,929,1003,1,0,0.0,13404,2018,251.1,1.282206292313819,12354.057626443648,1404.015890083632,350.0423178016726,309.0117164476304,288.4964157706093,1191.169645559538,1286.0529111907606,1.282206292313819,0.0,0.0,17186.69314217443
Stamford School District,1350011,Springdale School,1351111,K,5,614,65.1,10036,512,448,229,165,891,1087,1,0,0.0,13370,2018,251.1,1.282206292313819,12868.222349661488,656.4896216646754,574.4284189565909,293.62524093986457,211.56403823178016,1142.4458064516127,1393.7582397451213,1.282206292313819,0.0,0.0,17143.09812823576
Stamford School District,1350011,Stamford High School,1356111,9,12,1689,57.8,10606,1200,512,174,101,1286,1305,9,0,0.0,15192,2018,251.1,1.282206292313819,13599.079936280365,1538.6475507765829,656.4896216646754,223.10389486260453,129.50283552369572,1648.9172919155715,1673.279211469534,11.539856630824373,0.0,0.0,19479.27799283154
Stamford School District,1350011,Stillmeadow School,1352111,K,5,654,64.7,11464,654,273,205,184,862,1071,1,0,0.0,14713,2018,251.1,1.282206292313819,14699.212935085623,838.5629151732377,350.0423178016726,262.8522899243329,235.92595778574272,1105.261823974512,1373.2429390681002,1.282206292313819,0.0,0.0,18865.10117881322
Stamford School District,1350011,Strawberry Hill an ext. of Rogers International,1350711,K,2,350,35.7,9110,382,273,252,8,987,1150,0,0,0.0,12162,2018,251.1,1.282206292313819,11680.899322978892,489.8028036638789,350.0423178016726,323.1159856630824,10.257650338510553,1265.5376105137395,1474.537236160892,0.0,0.0,0.0,15594.192927120668
Stamford School District,1350011,"The Academy of Information, Technology & Engineering",1356411,9,12,652,47.1,11744,1012,499,196,8,1028,1244,9,0,0.0,15741,2018,251.1,1.282206292313819,15058.230696933491,1297.5927678215849,639.8209398645957,251.31243329350855,10.257650338510553,1318.1080684986061,1595.064627638391,11.539856630824373,0.0,0.0,20183.20924731183
Stamford School District,1350011,Toquam Magnet School,1351911,K,5,648,69.3,10622,637,487,231,185,863,1096,30,0,0.0,14152,2018,251.1,1.282206292313819,13619.595236957386,816.7654082039028,624.43446435683,296.1896535244922,237.20816407805654,1106.544030266826,1405.2980963759458,38.46618876941457,0.0,0.0,18145.78344882517
Stamford School District,1350011,Turn of River School,1355511,6,8,636,64.3,9932,1078,564,285,238,1038,1347,8,0,0.0,14489,2018,251.1,1.282206292313819,12734.87289526085,1382.218383114297,723.1643488649939,365.42879330943845,305.16509757068894,1330.9301314217441,1727.1318757467143,10.257650338510553,0.0,0.0,18577.886969334926
Stamford School District,1350011,Westhill High School,1356311,9,12,2061,56.0,10128,1002,380,155,69,1091,1236,34,0,0.0,14095,2018,251.1,1.282206292313819,12986.18532855436,1284.7707048984466,487.23839107925124,198.74197530864197,88.47223416965352,1398.8870649143767,1584.8069772998804,43.59501393866985,0.0,0.0,18072.69769016328
Stamford School District,1350011,Westover School,1351411,K,5,681,58.0,11088,552,273,103,166,884,1151,2,0,0.0,14218,2018,251.1,1.282206292313819,14217.103369175626,707.7778733572281,350.0423178016726,132.06724810832335,212.84624452409398,1133.4703624054162,1475.8194424532057,2.564412584627638,0.0,0.0,18230.40906411788
